status,p_value,morans_test_statistic,morans_I,gene_short_name,q_value
OK,0,60.60497891879263,0.2941160429322243,TENM4,0
OK,0,60.44926521869385,0.2933396942340207,ABCA9-AS1,0
OK,0,60.24819872716673,0.29235019027486275,UCK2,0
OK,0,60.174116406776925,0.2920271243317527,RHOB,0
OK,0,60.16181734114245,0.2918488512381979,PDGFRB,0
OK,0,60.075487183671264,0.2914930078062963,RUNX1,0
OK,0,59.93591288811881,0.29082155649288244,GUCY1A1,0
OK,0,60.16542405758857,0.29043603672350476,AC100803.4,0
OK,0,59.68700992224758,0.28959993932162487,MEGF10,0
OK,0,59.6421281005324,0.28944327625657096,C2CD2,0
OK,0,59.623174237520324,0.28935113169164495,SESN3,0
OK,0,59.61086923390697,0.2892791025863878,SGCD,0
OK,0,59.60620738422463,0.2892634991629238,SPARC,0
OK,0,59.566426411215964,0.28906275798562747,CRISPLD2,0
OK,0,59.19328601463986,0.2872623003172292,H3F3B,0
OK,0,59.14765309161914,0.28702945039810834,F3,0
OK,0,58.760132323123045,0.28515935140489485,C1S,0
OK,0,58.75178758635377,0.28511710732903045,KLHL23,0
OK,0,58.75530199874735,0.2850615442379155,ESAM,0
OK,0,58.701969113080686,0.28485190213386774,TTN,0
OK,0,58.453699118969666,0.2835673603080243,FHL5,0
OK,0,58.32129495646287,0.28300982991617435,CYP1B1-AS1,0
OK,0,57.993415892868505,0.2812948413494269,AL499616.1,0
OK,0,57.93430759675713,0.28102066046031965,CALD1,0
OK,0,57.70524876327143,0.28002022176492325,AL445250.1,0
OK,0,57.68595088291154,0.27987568325710765,PAMR1,0
OK,0,57.59767417994597,0.27950443245119,PLXDC1,0
OK,0,57.51472305635318,0.2790620266725465,PDE8A,0
OK,0,58.11577354968631,0.2787326536126048,VSIG4,0
OK,0,57.50186029091232,0.27859922612606086,LMOD1,0
OK,0,57.331557718340896,0.2780889818712335,FMOD,0
OK,0,57.20283954772847,0.27758347070526873,GSTP1,0
OK,0,56.950059248493226,0.27634838526184646,CYTH3,0
OK,0,56.899246027097995,0.2761087244572214,FRY,0
OK,0,56.82811147275778,0.2757749687816564,THRB,0
OK,0,56.68939323383336,0.2749190239630182,NAA11,0
OK,0,56.64237466512821,0.274872266549516,SAT1,0
OK,0,56.435710568136706,0.27386870846441963,TPCN1,0
OK,0,56.36856481369973,0.2735158237240275,USP53,0
OK,0,56.242500435337575,0.2729033686091178,KIAA1755,0
OK,0,56.22798498425962,0.27285880026482884,EIF1,0
OK,0,57.04918850660112,0.272735200146181,FCGR3A,0
OK,0,56.043987263970436,0.271869736545286,IL16,0
OK,0,55.99549553366531,0.27167766122546855,PDZRN3,0
OK,0,55.911274013859966,0.2712639977666685,DBNDD2,0
OK,0,55.87429924725989,0.2711277227568185,ACTB,0
OK,0,55.64316693723668,0.269969552661603,ITGA7,0
OK,0,55.62626685171897,0.2699326240171906,RPS7,0
OK,0,55.504998189300835,0.26934734825949724,AC012409.2,0
OK,0,55.38014031972199,0.26863990781666686,MLPH,0
OK,0,55.32241717522543,0.26844609291470356,AC092958.1,0
OK,0,55.29870530653466,0.2683287229447148,RFTN1,0
OK,0,55.24940951115952,0.26797410061307675,AL360178.1,0
OK,0,55.205903495903925,0.2678956582158508,PACSIN2,0
OK,0,55.10666946488176,0.26739691694342177,ADGRF5,0
OK,0,54.96923146640954,0.26673394691478036,MYO10,0
OK,0,54.95651843946341,0.26668234486895337,PLCL1,0
OK,0,54.954776089302065,0.26663606756288416,MPP6,0
OK,0,54.95836715758894,0.26661813333174433,ALDH1L1,0
OK,0,55.29307701633701,0.26590619801963106,TFEC,0
OK,0,54.74912013359003,0.2656252705822581,OMD,0
OK,0,54.58212176729657,0.26485267585824246,PLXDC2,0
OK,0,54.590470710948345,0.26455254238246184,PTP4A3,0
OK,0,55.514786970192425,0.26428144498520695,AL034397.3,0
OK,0,54.451498523563956,0.2642230893082051,FTL,0
OK,0,54.4694028935367,0.26420855138757904,F13A1,0
OK,0,54.461280791953165,0.26405734127307845,PRKG1,0
OK,0,54.271570950565405,0.2633154164895035,FAM162B,0
OK,0,54.31057217178179,0.26315950391680604,ATP1A2,0
OK,0,54.17670327262082,0.26289413299672565,NOVA1,0
OK,0,54.096843665912196,0.26250101826513295,MAST4,0
OK,0,53.91831632706395,0.26155690637268864,COL23A1,0
OK,0,53.858692795682906,0.26133958142241026,DOCK5,0
OK,0,53.809889026006246,0.2610886737289507,FTH1,0
OK,0,53.740066801207185,0.26075972080344806,NFASC,0
OK,0,53.706976124028614,0.2605632710275852,THBS1,0
